"CD_MENU","NR_ORDEM","NM_MENU","CD_MENU_PAI","CD_TELA","NM_USUINC","DT_USUINC","NM_USUALT","DT_USUALT"
1,1,Administração,,,DBSFLEXO,2013-04-22 14:35:45,JEFFERSONBARISON,2013-01-25 11:16:39
2,1,Cadastro,1,,DBSFLEXO,2013-04-22 14:35:45,,
5,3,Tela,2,GERAL00040,DBSFLEXO,2013-04-22 14:35:45,,
6,6,Usuário,2,GERAL00020,DBSFLEXO,2013-04-22 14:35:45,JEFFERSONBARISON,2013-01-24 17:24:52
7,5,Menu,2,GERAL00050,DBSFLEXO,2013-04-22 14:35:45,JEFFERSONBARISON,2013-01-25 07:58:31
8,1,Iniciar Produção,,DBSFLEXO00010,DBSFLEXO,2013-04-22 14:35:45,JEFFERSONBARISON,2013-01-25 07:58:31
